OBJECTID *,Shape *,Lat,Long,S1,S2,S3,S4
1,Point,43.125,-71.87,43,50,71,00
2,Point,43.1251,-71.87,43,51,71,00
3,Point,43.1252,-71.87,43,52,71,00
4,Point,43.1253,-71.87,43,53,71,00
5,Point,43.1254,-71.87,43,54,71,00
6,Point,43.1255,-71.87,43,55,71,00
7,Point,43.1256,-71.87,43,56,71,00
8,Point,43.1257,-71.87,43,57,71,00
9,Point,43.1258,-71.87,43,58,71,00
10,Point,43.1259,-71.87,43,59,71,00
11,Point,43.126,-71.87,43,60,71,00
12,Point,43.1261,-71.87,43,61,71,00
13,Point,43.1262,-71.87,43,62,71,00
14,Point,43.1263,-71.87,43,63,71,00
15,Point,43.1264,-71.87,43,64,71,00
16,Point,43.1265,-71.87,43,65,71,00
17,Point,43.1266,-71.87,43,66,71,00
18,Point,43.125,-71.8701,43,50,71,01
19,Point,43.1251,-71.8701,43,51,71,01
20,Point,43.1252,-71.8701,43,52,71,01
21,Point,43.1253,-71.8701,43,53,71,01
22,Point,43.1254,-71.8701,43,54,71,01
23,Point,43.1255,-71.8701,43,55,71,01
24,Point,43.1256,-71.8701,43,56,71,01
25,Point,43.1257,-71.8701,43,57,71,01
26,Point,43.1258,-71.8701,43,58,71,01
27,Point,43.1259,-71.8701,43,59,71,01
28,Point,43.126,-71.8701,43,60,71,01
29,Point,43.1261,-71.8701,43,61,71,01
30,Point,43.1262,-71.8701,43,62,71,01
31,Point,43.1263,-71.8701,43,63,71,01
32,Point,43.1264,-71.8701,43,64,71,01
33,Point,43.1265,-71.8701,43,65,71,01
34,Point,43.1266,-71.8701,43,66,71,01
35,Point,43.125,-71.8702,43,50,71,02
36,Point,43.1251,-71.8702,43,51,71,02
37,Point,43.1252,-71.8702,43,52,71,02
38,Point,43.1253,-71.8702,43,53,71,02
39,Point,43.1254,-71.8702,43,54,71,02
40,Point,43.1255,-71.8702,43,55,71,02
41,Point,43.1256,-71.8702,43,56,71,02
42,Point,43.1257,-71.8702,43,57,71,02
43,Point,43.1258,-71.8702,43,58,71,02
44,Point,43.1259,-71.8702,43,59,71,02
45,Point,43.126,-71.8702,43,60,71,02
46,Point,43.1261,-71.8702,43,61,71,02
47,Point,43.1262,-71.8702,43,62,71,02
48,Point,43.1263,-71.8702,43,63,71,02
49,Point,43.1264,-71.8702,43,64,71,02
50,Point,43.1265,-71.8702,43,65,71,02
51,Point,43.1266,-71.8702,43,66,71,02
52,Point,43.125,-71.8703,43,50,71,03
53,Point,43.1251,-71.8703,43,51,71,03
54,Point,43.1252,-71.8703,43,52,71,03
55,Point,43.1253,-71.8703,43,53,71,03
56,Point,43.1254,-71.8703,43,54,71,03
57,Point,43.1255,-71.8703,43,55,71,03
58,Point,43.1256,-71.8703,43,56,71,03
59,Point,43.1257,-71.8703,43,57,71,03
60,Point,43.1258,-71.8703,43,58,71,03
